Time(ms),Time(s),gyro_x,gyro_y,gyro_z
1499000692251, 22769.589066971002, -0.18315125, -0.021011353, -0.64308167
1499000692271, 22769.60923909, -0.30607605, -0.09751892, -0.576355
1499000692292, 22769.629380691, -0.32730103, -0.0036010742, -0.39675903
1499000692313, 22769.649522293003, -0.15840149, 0.1355133, -0.27719116
1499000692333, 22769.669694412, 0.09967041, 0.12345886, -0.19412231
1499000692353, 22769.689774978, 0.21862793, 0.080093384, -0.13027954
1499000692373, 22769.709947098003, 0.256958, 0.067718506, -0.09378052
1499000692393, 22769.730088699, 0.23405457, 0.07321167, -0.07789612
1499000692417, 22769.750230301, 0.21725464, 0.047409058, -0.04156494
1499000692434, 22769.770371902003, 0.2508545, 0.065582275, -0.0033874512
1499000692454, 22769.790513504002, 0.27818298, 0.12055969, 1.373291E-4
1499000692474, 22769.810655105, 0.21374512, 0.27433777, 0.011123657
1499000692494, 22769.830796707003, 0.22932434, 0.26913452, 0.0398407
1499000692515, 22769.850938309002, 0.26689148, 0.124679565, 0.10046387
1499000692535, 22769.87107991, 0.20167542, 0.14102173, 0.17268372
1499000692555, 22769.891221512, 0.094940186, 0.4862976, 0.18963623
1499000692575, 22769.911363113002, 0.08761597, 0.7049713, 0.17376709
1499000692595, 22769.931504715, 0.08653259, 0.36320496, 0.07067871
1499000692615, 22769.951646316, -0.1437378, 0.24531555, 0.015701294
1499000692635, 22769.971818435002, -0.26042175, 0.27723694, 0.08061218
1499000692655, 22769.991929519, -0.30256653, 0.18484497, 0.3224945
1499000692674, 22770.012040603, -0.15412903, -0.1446991, 0.5393524
1499000692694, 22770.032151687003, 0.072647095, -0.48539734, 0.62242126
1499000692714, 22770.052323807, 0.12059021, -0.47317505, 0.52316284
1499000692734, 22770.072465408, 0.099975586, -0.21922302, 0.318985
1499000692754, 22770.092607010003, -0.023864746, 0.0640564, 0.10015869
1499000692774, 22770.112718094002, -0.24697876, 0.13949585, -0.060653687
1499000692794, 22770.132890213, -0.417099, -0.0022277832, -0.11868286
1499000692815, 22770.153031814003, -0.50276184, -0.08041382, -0.10997009
1499000692834, 22770.173203934002, -0.46780396, -0.09017944, -0.0388031
1499000692854, 22770.193315017, -0.23704529, -0.041625977, 0.027618408
1499000692876, 22770.213456619, 0.002243042, -0.07797241, 0.049453735
1499000692897, 22770.233598221002, 0.124557495, -0.07965088, 0.06365967
1499000692918, 22770.253739822, 0.22520447, -0.059036255, 0.12870789
1499000692937, 22770.273911941, 0.32629395, -0.061935425, 0.19316101
1499000692958, 22770.294053543003, 0.37882996, -0.002380371, 0.20887756
1499000692978, 22770.314195144, 0.42707825, -0.06529236, 0.16596985
1499000692998, 22770.334306228, 0.44448853, -0.14653015, 0.06594849
1499000693018, 22770.354447830003, 0.37882996, -0.18318176, 0.014633179
1499000693037, 22770.374589432, 0.341568, -0.2024231, -0.05682373
1499000693058, 22770.394731033, 0.19328308, -0.15905762, -0.10874939
1499000693079, 22770.414872635003, -0.024780273, -0.09461975, -0.13853455
1499000693099, 22770.435014236, -0.1988678, -0.05659485, -0.104019165
1499000693119, 22770.455155838, -0.21124268, -0.13401794, -0.1333313
1499000693139, 22770.475327957003, -0.47253418, -0.08972168, -0.18815613
1499000693160, 22770.495439041002, -0.79551697, -0.053848267, -0.044006348
1499000693179, 22770.515580642, -0.5612488, -0.27893066, 0.19560242
1499000693199, 22770.535722244, -0.044784546, -0.43745422, 0.16993713
1499000693258, 22770.555833328002, 0.30125427, -0.41041565, 0.09312439
1499000693259, 22770.576005447, 0.32095337, -0.2893219, -0.04598999
1499000693259, 22770.596147049, 0.109298706, -0.091552734, -0.20648193
1499000693278, 22770.616288650002, -0.20681763, -0.028945923, -0.28115845
1499000693298, 22770.636430252, -0.26957703, -0.16912842, -0.23199463
1499000693321, 22770.656571853, -0.11457825, -0.24334717, -0.19351196
1499000693342, 22770.676743973003, -0.029205322, -0.09202576, -0.12631226
1499000693360, 22770.696855057, -0.045394897, 0.10543823, -0.002319336
1499000693379, 22770.716996658, 0.070510864, 0.14376831, 0.114364624
1499000693399, 22770.737138260003, 0.25741577, 0.089401245, 0.17758179
1499000693424, 22770.757310379002, 0.29238892, 0.06161499, 0.18353271
1499000693441, 22770.77745198, 0.2740631, 0.029693604, 0.21820068
1499000693461, 22770.797563064003, 0.3191223, 0.013656616, 0.2637024
1499000693481, 22770.817704666002, 0.38294983, 0.10910034, 0.23118591
1499000693501, 22770.837846267, 0.34965515, 0.30151367, 0.18444824
1499000693522, 22770.857987869, 0.40066528, 0.4204712, 0.17605591
1499000693541, 22770.878159988002, 0.46983337, 0.36473083, 0.18215942
1499000693561, 22770.898271072, 0.42555237, 0.22851563, 0.15971375
1499000693581, 22770.918443191, 0.30278015, 0.2421112, 0.18856812
1499000693602, 22770.938584793003, 0.16319275, 0.5049286, 0.29730225
1499000693624, 22770.958695877, 0.074783325, 0.57424927, 0.29058838
1499000693643, 22770.978867996, -0.02998352, 0.45147705, 0.23149109
1499000693662, 22770.998979080003, -0.09152222, 0.31510925, 0.15940857
1499000693687, 22771.019120682, -0.030288696, 0.23019409, 0.3214264
1499000693709, 22771.039231766, 0.068359375, -0.05001831, 0.5176697
1499000693737, 22771.059403885003, -0.013031006, -0.44950867, 0.55615234
1499000693740, 22771.079545486, -0.22270203, -0.44966125, 0.39152527
1499000693761, 22771.099687088, -0.26835632, -0.16149902, 0.25515747
1499000693781, 22771.119828689003, -0.08786011, 0.046798706, 0.21499634
1499000693802, 22771.139970291002, -0.039596558, 0.030456543, 0.17651367
1499000693823, 22771.160111892, -0.24194336, -0.2060852, 0.060455322
1499000693842, 22771.180253494, -0.6577759, -0.25801086, 0.029754639
1499000693862, 22771.200395096002, -0.79429626, -0.09751892, 0.11129761
1499000693884, 22771.220536697, -0.52093506, 0.01838684, 0.30386353
1499000693904, 22771.240678299, 0.09539795, -0.06529236, 0.34143066
1499000693925, 22771.260850418003, 0.4043274, -0.09736633, 0.261261
1499000693943, 22771.280961502, 0.3711853, -0.079956055, 0.19773865
1499000693964, 22771.301103103, 0.31010437, -0.057510376, 0.18597412
1499000693984, 22771.321244705003, 0.22840881, 0.01991272, 0.09190369
1499000694004, 22771.341386307, 0.25878906, 0.1083374, -0.019119263
1499000694025, 22771.361527908, 0.32644653, 0.004348755, -0.095458984
1499000694044, 22771.381669510003, 0.33729553, -0.07797241, -0.1466217
1499000694065, 22771.401811111, 0.27116394, -0.027420044, -0.27062988
1499000694085, 22771.42198323, 0.0592041, 0.09107971, -0.4265442
1499000694106, 22771.442124832003, -0.17443848, 0.06970215, -0.40257263
1499000694127, 22771.462235916002, -0.2967682, 0.022506714, -0.38056946
1499000694145, 22771.482408035, -0.5400238, 0.005874634, -0.4537201
1499000694165, 22771.502519119, -1.0480957, -0.017807007, -0.4091339
1499000694186, 22771.522660721002, -1.1356049, -0.107284546, -0.124176025
1499000694206, 22771.542802322, -0.671051, -0.08544922, 0.115722656
1499000694254, 22771.562913406, 0.010635376, 0.0035858154, 0.13619995
1499000694255, 22771.583085525002, 0.25161743, 0.01701355, 0.097717285
1499000694264, 22771.603227127, 0.21588135, 0.048477173, -0.056671143
1499000694286, 22771.623368728, 0.019958496, 0.07672119, -0.17991638
1499000694306, 22771.643540848003, -0.17977905, 0.107421875, -0.20861816
1499000694328, 22771.663651932, -0.1272583, 0.13505554, -0.17610168
1499000694347, 22771.683824051, 0.04286194, 0.10147095, -0.16265869
1499000694366, 22771.703904617003, 0.043014526, 0.13490295, -0.145401
1499000694388, 22771.724076736, -0.018066406, 0.16758728, -0.039886475
1499000694407, 22771.744218338, 0.13479614, 0.08329773, 0.08824158
1499000694431, 22771.764359939003, 0.3504181, 0.039916992, 0.092819214
1499000694448, 22771.784532059002, 0.43226624, 0.039154053, 0.07923889
1499000694468, 22771.804643142, 0.4163971, 0.09718323, 0.0816803
1499000694488, 22771.824784744, 0.33468628, 0.19293213, 0.09480286
1499000694508, 22771.844926346002, 0.25115967, 0.30151367, 0.12748718
1499000694529, 22771.865067947, 0.25941467, 0.5113373, 0.21025085
1499000694548, 22771.885209549, 0.38020325, 0.44628906, 0.29180908
1499000694568, 22771.905351150002, 0.3400421, 0.12208557, 0.3053894
1499000694589, 22771.925523269, 0.19786072, -0.12973022, 0.28997803
1499000694609, 22771.945634353, 0.16029358, -0.053985596, 0.37121582
1499000694630, 22771.965775955003, 0.34690857, 0.12528992, 0.41305542
1499000694649, 22771.985917557, 0.4124298, 0.083602905, 0.26034546
1499000694669, 22772.006059158, 0.07676697, 0.046035767, 0.18307495
1499000694689, 22772.026200760003, -0.09472656, 0.24440002, 0.17163086
1499000694709, 22772.046342361, -0.17382813, 0.111694336, 0.2375946
1499000694752, 22772.06651448, -0.029830933, -0.31436157, 0.256073
1499000694752, 22772.086625564003, 0.033706665, -0.5886383, 0.21116638
1499000694768, 22772.106767166002, -0.11442566, -0.49502563, 0.14245605
1499000694788, 22772.126908767, -0.16268921, -0.21678162, 0.0708313
1499000694811, 22772.147050369, -0.12680054, -0.031082153, -0.060195923
1499000694831, 22772.167191971002, -0.1411438, -0.05307007, -0.12890625
1499000694850, 22772.187333572, -0.26698303, -0.22090149, -0.16281128
1499000694871, 22772.207475174, -0.37998962, -0.25556946, -0.16555786
1499000694891, 22772.227616775002, -0.3789215, -0.16882324, -0.09729004
1499000694911, 22772.247758377, -0.24987793, -0.05307007, 0.037231445
1499000694932, 22772.267899978, -0.0024871826, -0.05581665, 0.13864136
1499000694951, 22772.288072098003, 0.25878906, -0.072769165, 0.06411743
1499000694972, 22772.308183182, 0.40966797, -0.09399414, -0.112716675
1499000694991, 22772.328355301, 0.52770996, -0.11048889, -0.23474121
1499000695011, 22772.348466385003, 0.5000763, 0.040374756, -0.31887817
1499000695032, 22772.368607986, 0.38172913, 0.047714233, -0.33659363
1499000695052, 22772.388749588, 0.27589417, -0.10606384, -0.34927368
1499000695072, 22772.408891189003, 0.19038391, -0.17875671, -0.36592102
1499000695092, 22772.429032791002, 0.115097046, -0.2036438, -0.4251709
1499000695112, 22772.449174392, -0.1055603, -0.11216736, -0.4376831
1499000695133, 22772.469346512, -0.34135437, 0.10101318, -0.38041687
1499000695153, 22772.489488113002, -0.42274475, 0.1978302, -0.24925232
1499000695172, 22772.509599197, -0.3554077, -0.05659485, -0.25764465
1499000695194, 22772.529740799, -0.47406006, -0.30152893, -0.40133667
1499000695213, 22772.549882400002, -0.63668823, -0.2157135, -0.35827637
1499000695264, 22772.570024002, -0.4651947, -0.018417358, -0.13502502
1499000695264, 22772.590165603, -0.16864014, 0.24745178, -0.08706665
1499000695271, 22772.610276687003, -0.014404297, 0.30578613, -0.15823364
1499000695293, 22772.630448807, -0.018829346, 0.17338562, -0.36973572
1499000695312, 22772.650620926, -0.22834778, -0.05796814, -0.6084137
1499000695332, 22772.670732010003, -0.4590912, 0.024490356, -0.683548
1499000695352, 22772.690904129002, -0.45817566, 0.20683289, -0.54229736
1499000695373, 22772.711015213, -0.37342834, 0.19676208, -0.30482483
1499000695394, 22772.731156814003, -0.28240967, 0.009841919, -0.18571472
1499000695414, 22772.751267898002, -0.24682617, -0.097976685, -0.17333984
1499000695439, 22772.771470535, -0.088775635, 0.03427124, -0.105545044
1499000695455, 22772.791612137, 0.13449097, 0.17002869, 0.048843384
1499000695475, 22772.811723221002, 0.27955627, 0.19171143, 0.11634827
1499000695495, 22772.831864822, 0.31575012, 0.09184265, 0.18582153
1499000695515, 22772.852036941, 0.31651306, 0.031829834, 0.17376709
1499000695536, 22772.872148025002, 0.32644653, 0.099487305, 0.14215088
1499000695555, 22772.892320144, 0.42814636, 0.40397644, 0.09190369
1499000695575, 22772.912431228, 0.4289093, 0.49301147, 0.08503723
1499000695595, 22772.932572830003, 0.31040955, 0.3193817, 0.11878967
1499000695616, 22772.952714432, 0.215271, 0.09840393, 0.18841553
1499000695637, 22772.972856033, 0.20443726, -0.092163086, 0.26890564
1499000695656, 22772.992997635003, 0.33699036, -0.0072631836, 0.32325745
1499000695676, 22773.013139236, 0.6054535, 0.06222534, 0.2991333
1499000695697, 22773.033280838, 0.63812256, 0.0020599365, 0.2667694
1499000695717, 22773.053422439003, 0.3860016, 0.05747986, 0.19911194
1499000695766, 22773.073564041002, 0.09539795, 0.33816528, 0.17254639
1499000695766, 22773.093705642, -0.07380676, 0.12437439, 0.20033264
1499000695775, 22773.113847244, -0.18894958, -0.34994507, 0.23545837
1499000695795, 22773.133988846002, -0.2008667, -0.6014557, 0.24263
1499000695816, 22773.154130447, -0.28668213, -0.47302246, 0.15727234
1499000695838, 22773.174272049, -0.35891724, -0.15783691, 0.043655396
1499000695858, 22773.194444168003, -0.43878174, 0.05152893, -0.09301758
1499000695878, 22773.214585769, -0.55926514, 0.090164185, -0.14463806
1499000695898, 22773.234696853, -0.57637024, 0.06222534, -0.14128113
