Time(ms),Time(s),acce_x,acce_y,acce_z
1499429599838, 294513.480983427, 0.4844513, 1.6347809, 9.927261
1499429599859, 294513.501125028, 0.50405884, 1.5955505, 9.868423
1499429599886, 294513.52126663004, 0.52368164, 1.575943, 9.809586
1499429599899, 294513.541408231, 0.50405884, 1.6151733, 9.829208
1499429599920, 294513.56154983304, 0.50405884, 1.6151733, 9.829208
1499429599939, 294513.581691434, 0.4844513, 1.6347809, 9.868423
1499429599959, 294513.601833036, 0.52368164, 1.575943, 9.888046
1499429599980, 294513.621974638, 0.6021271, 1.4778748, 9.907654
1499429600000, 294513.642116239, 0.6021271, 1.4190369, 9.907654
1499429600021, 294513.66225784103, 0.6217346, 1.4778748, 9.750748
1499429600040, 294513.682399442, 0.52368164, 1.4974823, 9.593842
1499429600060, 294513.70254104404, 0.5628967, 1.5367126, 9.593842
1499429600080, 294513.722682645, 0.5628967, 1.5563354, 9.652679
1499429600100, 294513.74285476503, 0.6021271, 1.5367126, 9.770355
1499429600121, 294513.762996366, 0.7001953, 1.5955505, 9.927261
1499429600141, 294513.78313796804, 0.77864075, 1.575943, 9.966492
1499429600161, 294513.803279569, 0.71980286, 1.5955505, 9.927261
1499429600181, 294513.823390653, 0.66096497, 1.5563354, 9.848816
1499429600201, 294513.84356277203, 0.6217346, 1.575943, 9.750748
1499429600222, 294513.863673856, 0.50405884, 1.5367126, 9.574234
1499429600241, 294513.88381545804, 0.4059906, 1.4778748, 9.574234
1499429600261, 294513.903957059, 0.38638306, 1.4582672, 9.672302
1499429600282, 294513.924098661, 0.3667755, 1.4386444, 9.69191
1499429600301, 294513.944240263, 0.44522095, 1.4190369, 9.809586
1499429600330, 294513.964381864, 0.58251953, 1.4974823, 9.829208
1499429600342, 294513.98452346603, 0.58251953, 1.575943, 9.789978
1499429600362, 294514.004695585, 0.6217346, 1.6740112, 9.750748
1499429600382, 294514.02480666904, 0.58251953, 1.6151733, 9.73114
1499429600402, 294514.04494827, 0.52368164, 1.5563354, 9.829208
1499429600424, 294514.06512039003, 0.4844513, 1.4778748, 9.809586
1499429600443, 294514.085231474, 0.4844513, 1.4974823, 9.809586
1499429600463, 294514.105373075, 0.5628967, 1.5563354, 9.809586
1499429600483, 294514.125514677, 0.6413574, 1.5563354, 9.770355
1499429600503, 294514.145686796, 0.52368164, 1.6543884, 9.69191
1499429600524, 294514.16579788004, 0.4844513, 1.6347809, 9.613449
1499429600545, 294514.185939481, 0.4256134, 1.6347809, 9.554611
1499429600565, 294514.20608108304, 0.3471527, 1.5367126, 9.69191
1499429600585, 294514.226192167, 0.30792236, 1.4778748, 9.829208
1499429600605, 294514.246364286, 0.32754517, 1.4582672, 9.966492
1499429600625, 294514.266505888, 0.44522095, 1.5171051, 10.044952
1499429600645, 294514.286647489, 0.4648285, 1.575943, 9.9861145
1499429600665, 294514.30678909103, 0.52368164, 1.5563354, 9.888046
1499429600685, 294514.326930692, 0.6217346, 1.6543884, 9.750748
