userid,floorid,timestamp,magn_x,magn_y,magn_z
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185109,12.1,-8.2,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185129,11.7,-8.2,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185150,11.7,-8.2,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185169,11.7,-8.7,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185189,11.7,-9.1,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185209,11.7,-9.7,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185231,11.7,-10.4,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185250,11.3,-10.4,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185269,11.3,-10.4,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185289,11.3,-11.3,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185309,11.3,-12.0,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185328,11.3,-12.0,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185347,11.3,-12.0,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185369,11.3,-12.4,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185388,11.3,-13.2,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185409,11.7,-13.2,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185428,11.7,-13.2,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185448,11.7,-13.7,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185468,12.1,-14.1,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185486,12.1,-14.1,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185509,12.1,-14.6,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185529,12.6,-14.6,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185549,12.6,-14.6,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185569,12.6,-15.0,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185589,12.6,-15.0,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185608,13.1,-14.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185631,13.1,-14.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185648,13.1,-14.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185677,13.5,-14.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185696,13.5,-14.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185717,13.5,-14.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185737,13.5,-14.9,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185757,13.9,-14.9,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185778,13.9,-14.9,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185808,13.9,-14.9,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185829,13.9,-14.9,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185858,14.3,-14.9,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185877,14.3,-14.9,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185899,14.3,-14.9,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185917,14.3,-14.9,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185938,14.3,-14.9,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185960,14.3,-14.9,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185979,14.3,-14.9,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185996,14.3,-14.9,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186018,14.3,-14.5,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186036,14.3,-14.5,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186056,14.3,-14.5,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186077,13.9,-14.5,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186097,13.9,-14.5,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186117,13.9,-14.5,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186137,13.9,-14.5,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186157,13.5,-14.5,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186177,13.5,-14.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186197,13.5,-14.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186217,13.1,-14.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633186238,13.1,-14.5,-12.5
