Default Wi-Fi: -102.000000, Top K: 1, Accuracy: 90.639%
Default Wi-Fi: -102.000000, Top K: 3, Accuracy: 90.639%
Default Wi-Fi: -102.000000, Top K: 5, Accuracy: 90.999%
Default Wi-Fi: -102.000000, Top K: 7, Accuracy: 90.819%
Default Wi-Fi: -102.000000, Top K: 9, Accuracy: 90.549%
Default Wi-Fi: -102.000000, Top K: 11, Accuracy: 90.819%
Default Wi-Fi: -102.000000, Top K: 13, Accuracy: 90.729%
Default Wi-Fi: -102.000000, Top K: 15, Accuracy: 90.459%
Default Wi-Fi: -102.000000, Top K: 17, Accuracy: 90.729%
Default Wi-Fi: -102.000000, Top K: 19, Accuracy: 90.549%
Default Wi-Fi: -102.000000, Top K: 21, Accuracy: 90.459%
Default Wi-Fi: -102.000000, Top K: 23, Accuracy: 90.369%
Default Wi-Fi: -102.000000, Top K: 25, Accuracy: 90.009%
Default Wi-Fi: -102.000000, Top K: 27, Accuracy: 90.189%
Default Wi-Fi: -102.000000, Top K: 29, Accuracy: 89.829%
Default Wi-Fi: -102.000000, Top K: 31, Accuracy: 89.829%
Default Wi-Fi: -102.000000, Top K: 33, Accuracy: 90.009%
Default Wi-Fi: -102.000000, Top K: 35, Accuracy: 90.099%
Default Wi-Fi: -102.000000, Top K: 37, Accuracy: 90.099%
Default Wi-Fi: -102.000000, Top K: 39, Accuracy: 90.189%
Default Wi-Fi: -102.000000, Top K: 41, Accuracy: 90.009%
Default Wi-Fi: -103.000000, Top K: 1, Accuracy: 90.369%
Default Wi-Fi: -103.000000, Top K: 3, Accuracy: 90.279%
Default Wi-Fi: -103.000000, Top K: 5, Accuracy: 90.639%
Default Wi-Fi: -103.000000, Top K: 7, Accuracy: 90.549%
Default Wi-Fi: -103.000000, Top K: 9, Accuracy: 90.369%
Default Wi-Fi: -103.000000, Top K: 11, Accuracy: 90.459%
Default Wi-Fi: -103.000000, Top K: 13, Accuracy: 90.369%
Default Wi-Fi: -103.000000, Top K: 15, Accuracy: 90.369%
Default Wi-Fi: -103.000000, Top K: 17, Accuracy: 90.369%
Default Wi-Fi: -103.000000, Top K: 19, Accuracy: 90.369%
Default Wi-Fi: -103.000000, Top K: 21, Accuracy: 90.369%
Default Wi-Fi: -103.000000, Top K: 23, Accuracy: 90.009%
Default Wi-Fi: -103.000000, Top K: 25, Accuracy: 89.919%
Default Wi-Fi: -103.000000, Top K: 27, Accuracy: 89.919%
Default Wi-Fi: -103.000000, Top K: 29, Accuracy: 89.829%
Default Wi-Fi: -103.000000, Top K: 31, Accuracy: 90.009%
Default Wi-Fi: -103.000000, Top K: 33, Accuracy: 89.829%
Default Wi-Fi: -103.000000, Top K: 35, Accuracy: 89.829%
Default Wi-Fi: -103.000000, Top K: 37, Accuracy: 90.099%
Default Wi-Fi: -103.000000, Top K: 39, Accuracy: 89.829%
Default Wi-Fi: -103.000000, Top K: 41, Accuracy: 89.739%
Default Wi-Fi: -104.000000, Top K: 1, Accuracy: 90.099%
Default Wi-Fi: -104.000000, Top K: 3, Accuracy: 89.919%
Default Wi-Fi: -104.000000, Top K: 5, Accuracy: 90.369%
Default Wi-Fi: -104.000000, Top K: 7, Accuracy: 90.369%
Default Wi-Fi: -104.000000, Top K: 9, Accuracy: 90.189%
Default Wi-Fi: -104.000000, Top K: 11, Accuracy: 90.189%
Default Wi-Fi: -104.000000, Top K: 13, Accuracy: 90.189%
Default Wi-Fi: -104.000000, Top K: 15, Accuracy: 90.189%
Default Wi-Fi: -104.000000, Top K: 17, Accuracy: 90.369%
Default Wi-Fi: -104.000000, Top K: 19, Accuracy: 90.369%
Default Wi-Fi: -104.000000, Top K: 21, Accuracy: 90.099%
Default Wi-Fi: -104.000000, Top K: 23, Accuracy: 89.919%
Default Wi-Fi: -104.000000, Top K: 25, Accuracy: 89.829%
Default Wi-Fi: -104.000000, Top K: 27, Accuracy: 89.649%
Default Wi-Fi: -104.000000, Top K: 29, Accuracy: 89.649%
Default Wi-Fi: -104.000000, Top K: 31, Accuracy: 89.829%
Default Wi-Fi: -104.000000, Top K: 33, Accuracy: 89.739%
Default Wi-Fi: -104.000000, Top K: 35, Accuracy: 89.739%
Default Wi-Fi: -104.000000, Top K: 37, Accuracy: 89.649%
Default Wi-Fi: -104.000000, Top K: 39, Accuracy: 89.559%
Default Wi-Fi: -104.000000, Top K: 41, Accuracy: 89.559%
Default Wi-Fi: -105.000000, Top K: 1, Accuracy: 89.829%
Default Wi-Fi: -105.000000, Top K: 3, Accuracy: 89.739%
Default Wi-Fi: -105.000000, Top K: 5, Accuracy: 90.189%
Default Wi-Fi: -105.000000, Top K: 7, Accuracy: 90.189%
Default Wi-Fi: -105.000000, Top K: 9, Accuracy: 89.919%
Default Wi-Fi: -105.000000, Top K: 11, Accuracy: 90.009%
Default Wi-Fi: -105.000000, Top K: 13, Accuracy: 90.189%
Default Wi-Fi: -105.000000, Top K: 15, Accuracy: 90.009%
Default Wi-Fi: -105.000000, Top K: 17, Accuracy: 90.099%
Default Wi-Fi: -105.000000, Top K: 19, Accuracy: 90.189%
Default Wi-Fi: -105.000000, Top K: 21, Accuracy: 89.919%
Default Wi-Fi: -105.000000, Top K: 23, Accuracy: 89.919%
Default Wi-Fi: -105.000000, Top K: 25, Accuracy: 89.649%
Default Wi-Fi: -105.000000, Top K: 27, Accuracy: 89.649%
Default Wi-Fi: -105.000000, Top K: 29, Accuracy: 89.469%
Default Wi-Fi: -105.000000, Top K: 31, Accuracy: 89.289%
Default Wi-Fi: -105.000000, Top K: 33, Accuracy: 89.289%
Default Wi-Fi: -105.000000, Top K: 35, Accuracy: 89.199%
Default Wi-Fi: -105.000000, Top K: 37, Accuracy: 89.289%
Default Wi-Fi: -105.000000, Top K: 39, Accuracy: 89.199%
Default Wi-Fi: -105.000000, Top K: 41, Accuracy: 89.289%
Done.
